                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.50177,                0.12306,                0.03921,                 0.3632,                0.81807,                0.99549,                0.99389,                0.99495,                0.91208,                0.99097,                0.98946,                0.99255,                0.99058,                0.43647,                 0.0981,                0.00479,                0.29173,                0.80034,              0.0098436,              0.0098436,              0.0098436
                     82,                0.50941,                0.12766,                0.03707,                0.36437,                0.82156,                0.99325,                0.98252,                0.99453,                 0.9143,                0.97802,                0.96394,                0.98115,                 0.9697,                0.43164,                0.20699,                 0.0049,                0.29011,                0.80245,              0.0098416,              0.0098416,              0.0098416
                     83,                0.53543,                0.12872,                0.04197,                0.36059,                0.82123,                0.99207,                0.98977,                0.99472,                  0.914,                 0.9819,                0.97888,                0.98253,                0.97583,                0.42317,                0.16608,                 0.0044,                0.28422,                 0.8012,              0.0098396,              0.0098396,              0.0098396
                     84,                0.51787,                0.10965,                0.03786,                0.35521,                 0.8172,                0.99652,                0.99424,                  0.995,                0.91916,                 0.9915,                0.99082,                0.99207,                0.99171,                0.42366,                0.08237,                0.00377,                0.28031,                0.79909,              0.0098376,              0.0098376,              0.0098376
                     85,                0.50464,                0.10354,                0.03603,                0.34659,                0.81335,                0.99749,                0.99369,                  0.995,                0.91667,                0.99307,                0.99072,                0.99273,                0.99231,                0.43983,                0.08528,                0.00525,                0.28811,                0.79842,              0.0098357,              0.0098357,              0.0098357
                     86,                0.51222,                0.11882,                0.03742,                0.36938,                0.81904,                0.99223,                0.98858,                0.99492,                0.92189,                0.98927,                0.98561,                0.99244,                0.99206,                0.41582,                0.07567,                0.00459,                0.28893,                0.79738,              0.0098337,              0.0098337,              0.0098337
                     87,                0.48027,                0.13639,                0.03707,                0.34749,                0.81482,                0.99037,                0.98946,                0.99488,                0.92373,                0.98578,                0.98397,                0.99244,                0.99199,                0.41877,                0.09483,                0.00636,                0.29227,                0.79492,              0.0098317,              0.0098317,              0.0098317
                     88,                0.51488,                0.10706,                0.03849,                0.36416,                0.81947,                0.99594,                0.99655,                0.99498,                0.91299,                 0.9944,                0.99275,                0.99457,                0.99297,                0.43653,                0.07048,                0.00425,                0.28711,                0.79786,              0.0098297,              0.0098297,              0.0098297
                     89,                0.50727,                0.11827,                0.03873,                0.34562,                0.81395,                0.99322,                0.99509,                0.99483,                0.92593,                0.99032,                0.98723,                0.98947,                0.98861,                0.40868,                 0.1064,                0.00437,                0.28196,                0.79632,              0.0098277,              0.0098277,              0.0098277
                     90,                0.50394,                0.11259,                 0.0433,                0.35365,                0.82119,                0.99647,                0.99485,                0.99488,                0.89289,                0.99258,                0.99035,                0.99247,                0.99168,                0.50575,                 0.0899,                0.00361,                 0.3068,                0.80798,              0.0098258,              0.0098258,              0.0098258
                     91,                0.49126,                0.12762,                0.04308,                0.34144,                0.81982,                0.99499,                 0.9967,                0.99495,                 0.9028,                0.99055,                0.99226,                0.99243,                0.99177,                0.48048,                0.08854,                0.00389,                0.29306,                0.80302,              0.0098238,              0.0098238,              0.0098238
                     92,                0.48008,                 0.1085,                0.04568,                0.34101,                0.81336,                0.99694,                0.99323,                0.99498,                0.90541,                0.99348,                0.98978,                0.99313,                0.99267,                0.49094,                0.08105,                0.00523,                0.30076,                0.80673,              0.0098218,              0.0098218,              0.0098218
